id,text,label
603,kami biasa biasa sahaja,Neutral
604,relationship kami sangat sihat dan bahagia,Positive
605,dia selalu marah tanpa sebab,Negative
606,kami just go with the flow,Neutral
607,bf aku sangat caring dan selalu support aku,Positive
608,dia selalu marah tanpa sebab,Negative
609,aku masih cuba faham dia,Neutral
610,aku rasa dihargai dalam relationship ni,Positive
611,aku rasa sangat penat dengan relationship ni,Negative
612,kami just go with the flow,Neutral
613,saya rasa sangat disayangi oleh dia,Positive
614,dia pentingkan diri sendiri,Negative
615,tak ada isu besar setakat ni,Neutral
616,bf aku sangat caring dan selalu support aku,Positive
617,dia selalu marah tanpa sebab,Negative
618,neutral je sekarang,Neutral
619,aku sangat selesa dengan dia,Positive
620,kami selalu bergaduh tiap hari,Negative
621,tak ada masalah besar antara kami,Neutral
622,aku rasa dihargai dalam relationship ni,Positive
623,aku rasa sangat penat dengan relationship ni,Negative
624,kami just go with the flow,Neutral
625,saya rasa sangat disayangi oleh dia,Positive
626,kami selalu bergaduh tiap hari,Negative
627,relationship ni stabil je,Neutral
628,aku rasa dihargai dalam relationship ni,Positive
629,aku rasa lonely walaupun ada partner,Negative
630,kami biasa biasa sahaja,Neutral
631,partner aku baik sangat dan penyayang,Positive
632,aku rasa lonely walaupun ada partner,Negative
633,aku masih cuba faham dia,Neutral
634,aku rasa dihargai dalam relationship ni,Positive
635,relationship ni toxic sangat,Negative
636,tak terlalu rapat tapi okay,Neutral
637,relationship kami sangat sihat dan bahagia,Positive
638,dia langsung tak peduli perasaan aku,Negative
639,kami just go with the flow,Neutral
640,bf aku sangat caring dan selalu support aku,Positive
641,aku rasa stressed dalam relationship ni,Negative
642,relationship kami okay je,Neutral
643,dia sangat understanding dengan aku,Positive
644,partner aku selalu ignore aku,Negative
645,tak ada masalah besar antara kami,Neutral
646,bf aku sangat caring dan selalu support aku,Positive
647,kami selalu bergaduh tiap hari,Negative
648,kami biasa biasa sahaja,Neutral
649,he always makes me smile,Positive
650,kami selalu bergaduh tiap hari,Negative
651,neutral je sekarang,Neutral
652,saya rasa sangat disayangi oleh dia,Positive
653,partner aku selalu ignore aku,Negative
654,aku tak pasti status relationship ni,Neutral
655,partner aku baik sangat dan penyayang,Positive
656,dia langsung tak peduli perasaan aku,Negative
657,neutral je sekarang,Neutral
658,he always makes me smile,Positive
659,kami tak serasi langsung,Negative
660,relationship ni stabil je,Neutral
661,dia sangat understanding dengan aku,Positive
662,aku rasa sangat penat dengan relationship ni,Negative
663,neutral je sekarang,Neutral
664,aku sangat selesa dengan dia,Positive
665,dia langsung tak peduli perasaan aku,Negative
666,aku tak pasti status relationship ni,Neutral
667,relationship kami sangat sihat dan bahagia,Positive
668,dia langsung tak peduli perasaan aku,Negative
669,neutral je sekarang,Neutral
670,bf aku sangat caring dan selalu support aku,Positive
671,relationship ni toxic sangat,Negative
672,neutral je sekarang,Neutral
673,aku rasa dihargai dalam relationship ni,Positive
674,dia selalu marah tanpa sebab,Negative
675,kami biasa biasa sahaja,Neutral
676,partner aku selalu buat aku happy,Positive
677,dia pentingkan diri sendiri,Negative
678,kami biasa biasa sahaja,Neutral
679,partner aku selalu buat aku happy,Positive
680,relationship ni toxic sangat,Negative
681,neutral je sekarang,Neutral
682,partner aku selalu buat aku happy,Positive
683,dia pentingkan diri sendiri,Negative
684,relationship kami okay je,Neutral
685,dia sangat understanding dengan aku,Positive
686,aku rasa stressed dalam relationship ni,Negative
687,tak terlalu rapat tapi okay,Neutral
688,dia sangat understanding dengan aku,Positive
689,dia langsung tak peduli perasaan aku,Negative
690,tak ada isu besar setakat ni,Neutral
691,dia sangat understanding dengan aku,Positive
692,kami selalu bergaduh tiap hari,Negative
693,tak terlalu rapat tapi okay,Neutral
694,partner aku baik sangat dan penyayang,Positive
695,dia langsung tak peduli perasaan aku,Negative
696,tak terlalu rapat tapi okay,Neutral
697,dia sangat understanding dengan aku,Positive
698,kami tak serasi langsung,Negative
699,aku tak pasti status relationship ni,Neutral
700,aku rasa dihargai dalam relationship ni,Positive
701,aku rasa sangat penat dengan relationship ni,Negative
702,tak ada isu besar setakat ni,Neutral
703,relationship kami sangat sihat dan bahagia,Positive
704,dia pentingkan diri sendiri,Negative
705,tak ada isu besar setakat ni,Neutral
706,partner aku baik sangat dan penyayang,Positive
707,kami tak serasi langsung,Negative
708,tak terlalu rapat tapi okay,Neutral
709,aku sangat selesa dengan dia,Positive
710,relationship ni toxic sangat,Negative
711,aku masih cuba faham dia,Neutral
712,he always makes me smile,Positive
713,dia langsung tak peduli perasaan aku,Negative
714,relationship ni stabil je,Neutral
715,partner aku baik sangat dan penyayang,Positive
716,partner aku selalu ignore aku,Negative
717,kami just go with the flow,Neutral
718,aku sangat selesa dengan dia,Positive
719,dia pentingkan diri sendiri,Negative
720,tak terlalu rapat tapi okay,Neutral
721,dia sangat understanding dengan aku,Positive
722,kami selalu bergaduh tiap hari,Negative
723,kami just go with the flow,Neutral
724,dia sangat understanding dengan aku,Positive
725,aku rasa sangat penat dengan relationship ni,Negative
726,kami just go with the flow,Neutral
727,he always makes me smile,Positive
728,aku rasa lonely walaupun ada partner,Negative
729,relationship ni stabil je,Neutral
730,dia sangat understanding dengan aku,Positive
731,relationship ni toxic sangat,Negative
732,neutral je sekarang,Neutral
733,relationship kami sangat sihat dan bahagia,Positive
734,aku rasa stressed dalam relationship ni,Negative
735,relationship kami okay je,Neutral
736,kami selalu communicate dengan baik,Positive
737,partner aku selalu ignore aku,Negative
738,tak ada masalah besar antara kami,Neutral
739,he always makes me smile,Positive
740,dia selalu marah tanpa sebab,Negative
741,kami just go with the flow,Neutral
742,kami selalu communicate dengan baik,Positive
743,partner aku selalu ignore aku,Negative
744,kami just go with the flow,Neutral
745,partner aku baik sangat dan penyayang,Positive
746,kami tak serasi langsung,Negative
747,relationship kami okay je,Neutral
748,partner aku selalu buat aku happy,Positive
749,relationship ni toxic sangat,Negative
750,kami biasa biasa sahaja,Neutral
751,aku rasa dihargai dalam relationship ni,Positive
752,partner aku selalu ignore aku,Negative
753,relationship ni stabil je,Neutral
754,aku sangat selesa dengan dia,Positive
755,aku rasa lonely walaupun ada partner,Negative
756,kami just go with the flow,Neutral
757,kami selalu communicate dengan baik,Positive
758,aku rasa stressed dalam relationship ni,Negative
759,aku masih cuba faham dia,Neutral
760,aku rasa dihargai dalam relationship ni,Positive
761,aku rasa stressed dalam relationship ni,Negative
762,aku masih cuba faham dia,Neutral
763,dia sangat understanding dengan aku,Positive
764,kami tak serasi langsung,Negative
765,relationship ni stabil je,Neutral
766,relationship kami sangat sihat dan bahagia,Positive
767,relationship ni toxic sangat,Negative
768,kami biasa biasa sahaja,Neutral
769,partner aku selalu buat aku happy,Positive
770,partner aku selalu ignore aku,Negative
771,aku masih cuba faham dia,Neutral
772,partner aku selalu buat aku happy,Positive
773,aku rasa stressed dalam relationship ni,Negative
774,aku tak pasti status relationship ni,Neutral
775,he always makes me smile,Positive
776,partner aku selalu ignore aku,Negative
777,kami just go with the flow,Neutral
778,relationship kami sangat sihat dan bahagia,Positive
779,dia pentingkan diri sendiri,Negative
780,tak ada isu besar setakat ni,Neutral
781,aku sangat selesa dengan dia,Positive
782,relationship ni toxic sangat,Negative
783,tak ada masalah besar antara kami,Neutral
784,he always makes me smile,Positive
785,relationship ni toxic sangat,Negative
786,kami biasa biasa sahaja,Neutral
787,dia sangat understanding dengan aku,Positive
788,aku rasa sangat penat dengan relationship ni,Negative
789,relationship ni stabil je,Neutral
790,bf aku sangat caring dan selalu support aku,Positive
791,aku rasa stressed dalam relationship ni,Negative
792,aku tak pasti status relationship ni,Neutral
793,relationship kami sangat sihat dan bahagia,Positive
794,kami selalu bergaduh tiap hari,Negative
795,relationship kami okay je,Neutral
796,kami selalu communicate dengan baik,Positive
797,relationship ni toxic sangat,Negative
798,aku tak pasti status relationship ni,Neutral
799,partner aku baik sangat dan penyayang,Positive
800,dia langsung tak peduli perasaan aku,Negative
801,relationship kami okay je,Neutral
802,aku sangat selesa dengan dia,Positive
803,relationship ni toxic sangat,Negative
804,kami just go with the flow,Neutral
805,partner aku baik sangat dan penyayang,Positive
806,kami tak serasi langsung,Negative
807,aku masih cuba faham dia,Neutral
808,saya rasa sangat disayangi oleh dia,Positive
809,kami selalu bergaduh tiap hari,Negative
810,relationship ni stabil je,Neutral
811,partner aku baik sangat dan penyayang,Positive
812,dia langsung tak peduli perasaan aku,Negative
813,tak ada masalah besar antara kami,Neutral
814,aku rasa dihargai dalam relationship ni,Positive
815,kami tak serasi langsung,Negative
816,tak ada masalah besar antara kami,Neutral
817,aku sangat selesa dengan dia,Positive
818,kami selalu bergaduh tiap hari,Negative
819,aku tak pasti status relationship ni,Neutral
820,saya rasa sangat disayangi oleh dia,Positive
821,dia pentingkan diri sendiri,Negative
822,relationship ni stabil je,Neutral
823,partner aku selalu buat aku happy,Positive
824,partner aku selalu ignore aku,Negative
825,tak ada masalah besar antara kami,Neutral
826,kami selalu communicate dengan baik,Positive
827,dia selalu marah tanpa sebab,Negative
828,neutral je sekarang,Neutral
829,aku sangat selesa dengan dia,Positive
830,dia pentingkan diri sendiri,Negative
831,kami biasa biasa sahaja,Neutral
832,kami selalu communicate dengan baik,Positive
833,dia selalu marah tanpa sebab,Negative
834,kami just go with the flow,Neutral
835,partner aku baik sangat dan penyayang,Positive
836,relationship ni toxic sangat,Negative
837,neutral je sekarang,Neutral
838,aku rasa dihargai dalam relationship ni,Positive
839,relationship ni toxic sangat,Negative
840,neutral je sekarang,Neutral
841,aku sangat selesa dengan dia,Positive
842,kami selalu bergaduh tiap hari,Negative
843,neutral je sekarang,Neutral
844,partner aku selalu buat aku happy,Positive
845,partner aku selalu ignore aku,Negative
846,kami biasa biasa sahaja,Neutral
847,relationship kami sangat sihat dan bahagia,Positive
848,dia langsung tak peduli perasaan aku,Negative
849,aku tak pasti status relationship ni,Neutral
850,he always makes me smile,Positive
851,aku rasa sangat penat dengan relationship ni,Negative
852,tak ada isu besar setakat ni,Neutral
853,partner aku selalu buat aku happy,Positive
854,aku rasa sangat penat dengan relationship ni,Negative
855,relationship kami okay je,Neutral
856,aku rasa dihargai dalam relationship ni,Positive
857,kami tak serasi langsung,Negative
858,neutral je sekarang,Neutral
859,partner aku baik sangat dan penyayang,Positive
860,relationship ni toxic sangat,Negative
861,relationship kami okay je,Neutral
862,he always makes me smile,Positive
863,relationship ni toxic sangat,Negative
864,relationship ni stabil je,Neutral
865,partner aku baik sangat dan penyayang,Positive
866,dia langsung tak peduli perasaan aku,Negative
867,kami biasa biasa sahaja,Neutral
868,relationship kami sangat sihat dan bahagia,Positive
869,dia pentingkan diri sendiri,Negative
870,kami biasa biasa sahaja,Neutral
871,aku rasa dihargai dalam relationship ni,Positive
872,dia langsung tak peduli perasaan aku,Negative
873,tak ada isu besar setakat ni,Neutral
874,he always makes me smile,Positive
875,aku rasa sangat penat dengan relationship ni,Negative
876,relationship ni stabil je,Neutral
877,saya rasa sangat disayangi oleh dia,Positive
878,dia langsung tak peduli perasaan aku,Negative
879,relationship kami okay je,Neutral
880,saya rasa sangat disayangi oleh dia,Positive
881,relationship ni toxic sangat,Negative
882,neutral je sekarang,Neutral
883,aku sangat selesa dengan dia,Positive
884,relationship ni toxic sangat,Negative
885,kami just go with the flow,Neutral
886,partner aku selalu buat aku happy,Positive
887,kami tak serasi langsung,Negative
888,relationship ni stabil je,Neutral
889,aku rasa dihargai dalam relationship ni,Positive
890,relationship ni toxic sangat,Negative
891,tak ada isu besar setakat ni,Neutral
892,kami selalu communicate dengan baik,Positive
893,kami tak serasi langsung,Negative
894,kami just go with the flow,Neutral
895,partner aku selalu buat aku happy,Positive
896,dia pentingkan diri sendiri,Negative
897,relationship kami okay je,Neutral
898,aku rasa dihargai dalam relationship ni,Positive
899,aku rasa lonely walaupun ada partner,Negative
900,neutral je sekarang,Neutral
901,relationship kami sangat sihat dan bahagia,Positive
902,kami selalu bergaduh tiap hari,Negative
903,tak ada masalah besar antara kami,Neutral
904,he always makes me smile,Positive
905,dia pentingkan diri sendiri,Negative
906,neutral je sekarang,Neutral
907,bf aku sangat caring dan selalu support aku,Positive
908,relationship ni toxic sangat,Negative
909,neutral je sekarang,Neutral
910,bf aku sangat caring dan selalu support aku,Positive
911,aku rasa sangat penat dengan relationship ni,Negative
912,kami just go with the flow,Neutral
913,kami selalu communicate dengan baik,Positive
914,kami tak serasi langsung,Negative
915,relationship ni stabil je,Neutral
916,saya rasa sangat disayangi oleh dia,Positive
917,dia pentingkan diri sendiri,Negative
918,tak terlalu rapat tapi okay,Neutral
919,partner aku baik sangat dan penyayang,Positive
920,dia langsung tak peduli perasaan aku,Negative
921,kami just go with the flow,Neutral
922,dia sangat understanding dengan aku,Positive
923,dia selalu marah tanpa sebab,Negative
924,aku masih cuba faham dia,Neutral
925,dia sangat understanding dengan aku,Positive
926,dia langsung tak peduli perasaan aku,Negative
927,aku tak pasti status relationship ni,Neutral
928,dia sangat understanding dengan aku,Positive
929,dia selalu marah tanpa sebab,Negative
930,kami just go with the flow,Neutral
931,relationship kami sangat sihat dan bahagia,Positive
932,dia selalu marah tanpa sebab,Negative
933,tak ada isu besar setakat ni,Neutral
934,bf aku sangat caring dan selalu support aku,Positive
935,kami tak serasi langsung,Negative
936,tak ada masalah besar antara kami,Neutral
937,dia sangat understanding dengan aku,Positive
938,relationship ni toxic sangat,Negative
939,aku masih cuba faham dia,Neutral
940,partner aku selalu buat aku happy,Positive
941,dia selalu marah tanpa sebab,Negative
942,tak ada isu besar setakat ni,Neutral
943,bf aku sangat caring dan selalu support aku,Positive
944,aku rasa stressed dalam relationship ni,Negative
945,kami just go with the flow,Neutral
946,aku rasa dihargai dalam relationship ni,Positive
947,kami selalu bergaduh tiap hari,Negative
948,kami biasa biasa sahaja,Neutral
949,kami selalu communicate dengan baik,Positive
950,aku rasa lonely walaupun ada partner,Negative
951,neutral je sekarang,Neutral
952,partner aku baik sangat dan penyayang,Positive
953,kami tak serasi langsung,Negative
954,relationship kami okay je,Neutral
955,he always makes me smile,Positive
956,relationship ni toxic sangat,Negative
957,tak ada isu besar setakat ni,Neutral
958,saya rasa sangat disayangi oleh dia,Positive
959,relationship ni toxic sangat,Negative
960,kami just go with the flow,Neutral
961,partner aku baik sangat dan penyayang,Positive
962,dia langsung tak peduli perasaan aku,Negative
963,relationship kami okay je,Neutral
964,aku sangat selesa dengan dia,Positive
965,partner aku selalu ignore aku,Negative
966,aku tak pasti status relationship ni,Neutral
967,relationship kami sangat sihat dan bahagia,Positive
968,aku rasa stressed dalam relationship ni,Negative
969,relationship kami okay je,Neutral
970,kami selalu communicate dengan baik,Positive
971,dia selalu marah tanpa sebab,Negative
972,tak ada masalah besar antara kami,Neutral
973,he always makes me smile,Positive
974,dia langsung tak peduli perasaan aku,Negative
975,kami just go with the flow,Neutral
976,partner aku selalu buat aku happy,Positive
977,aku rasa sangat penat dengan relationship ni,Negative
978,kami just go with the flow,Neutral
979,relationship kami sangat sihat dan bahagia,Positive
980,aku rasa stressed dalam relationship ni,Negative
981,relationship ni stabil je,Neutral
982,aku rasa dihargai dalam relationship ni,Positive
983,kami tak serasi langsung,Negative
984,kami just go with the flow,Neutral
985,he always makes me smile,Positive
986,kami tak serasi langsung,Negative
987,tak ada isu besar setakat ni,Neutral
988,saya rasa sangat disayangi oleh dia,Positive
989,dia selalu marah tanpa sebab,Negative
990,kami biasa biasa sahaja,Neutral
991,aku sangat selesa dengan dia,Positive
992,aku rasa stressed dalam relationship ni,Negative
993,aku tak pasti status relationship ni,Neutral
994,partner aku selalu buat aku happy,Positive
995,relationship ni toxic sangat,Negative
996,tak terlalu rapat tapi okay,Neutral
997,dia sangat understanding dengan aku,Positive
998,aku rasa stressed dalam relationship ni,Negative
999,relationship ni stabil je,Neutral
1000,bf aku sangat caring dan selalu support aku,Positive
1001,relationship ni toxic sangat,Negative
1002,relationship ni stabil je,Neutral
1003,aku sangat selesa dengan dia,Positive
1004,dia pentingkan diri sendiri,Negative
1005,kami just go with the flow,Neutral
1006,saya rasa sangat disayangi oleh dia,Positive
1007,kami tak serasi langsung,Negative
1008,tak ada isu besar setakat ni,Neutral
1009,partner aku baik sangat dan penyayang,Positive
1010,aku rasa lonely walaupun ada partner,Negative
1011,aku masih cuba faham dia,Neutral
1012,kami selalu communicate dengan baik,Positive
1013,aku rasa stressed dalam relationship ni,Negative
1014,tak terlalu rapat tapi okay,Neutral
1015,partner aku baik sangat dan penyayang,Positive
1016,aku rasa lonely walaupun ada partner,Negative
1017,kami biasa biasa sahaja,Neutral
1018,he always makes me smile,Positive
1019,dia pentingkan diri sendiri,Negative
1020,tak terlalu rapat tapi okay,Neutral
1021,he always makes me smile,Positive
1022,dia selalu marah tanpa sebab,Negative
1023,relationship kami okay je,Neutral
1024,dia sangat understanding dengan aku,Positive
1025,kami tak serasi langsung,Negative
1026,tak terlalu rapat tapi okay,Neutral
1027,aku rasa dihargai dalam relationship ni,Positive
1028,aku rasa sangat penat dengan relationship ni,Negative
1029,kami just go with the flow,Neutral
1030,bf aku sangat caring dan selalu support aku,Positive
1031,aku rasa sangat penat dengan relationship ni,Negative
1032,tak ada isu besar setakat ni,Neutral
1033,aku sangat selesa dengan dia,Positive
1034,aku rasa lonely walaupun ada partner,Negative
1035,tak ada masalah besar antara kami,Neutral
1036,partner aku baik sangat dan penyayang,Positive
1037,dia langsung tak peduli perasaan aku,Negative
1038,tak ada isu besar setakat ni,Neutral
1039,partner aku baik sangat dan penyayang,Positive
1040,kami selalu bergaduh tiap hari,Negative
1041,aku tak pasti status relationship ni,Neutral
1042,aku rasa dihargai dalam relationship ni,Positive
1043,aku rasa sangat penat dengan relationship ni,Negative
1044,tak ada masalah besar antara kami,Neutral
1045,partner aku baik sangat dan penyayang,Positive
1046,relationship ni toxic sangat,Negative
1047,aku masih cuba faham dia,Neutral
1048,aku sangat selesa dengan dia,Positive
1049,dia selalu marah tanpa sebab,Negative
1050,tak ada masalah besar antara kami,Neutral
1051,dia sangat understanding dengan aku,Positive
1052,aku rasa stressed dalam relationship ni,Negative
1053,tak terlalu rapat tapi okay,Neutral
1054,dia sangat understanding dengan aku,Positive
1055,kami tak serasi langsung,Negative
1056,tak ada isu besar setakat ni,Neutral
1057,bf aku sangat caring dan selalu support aku,Positive
1058,dia pentingkan diri sendiri,Negative
1059,tak ada masalah besar antara kami,Neutral
1060,he always makes me smile,Positive
1061,relationship ni toxic sangat,Negative
1062,kami biasa biasa sahaja,Neutral
1063,partner aku selalu buat aku happy,Positive
1064,dia selalu marah tanpa sebab,Negative
1065,tak ada masalah besar antara kami,Neutral
1066,partner aku selalu buat aku happy,Positive
1067,kami tak serasi langsung,Negative
1068,aku tak pasti status relationship ni,Neutral
1069,relationship kami sangat sihat dan bahagia,Positive
1070,kami selalu bergaduh tiap hari,Negative
1071,relationship kami okay je,Neutral
1072,dia sangat understanding dengan aku,Positive
1073,kami selalu bergaduh tiap hari,Negative
1074,relationship ni stabil je,Neutral
1075,dia sangat understanding dengan aku,Positive
1076,aku rasa lonely walaupun ada partner,Negative
1077,tak terlalu rapat tapi okay,Neutral
1078,saya rasa sangat disayangi oleh dia,Positive
1079,partner aku selalu ignore aku,Negative
1080,tak ada isu besar setakat ni,Neutral
1081,aku rasa dihargai dalam relationship ni,Positive
1082,dia pentingkan diri sendiri,Negative
1083,aku tak pasti status relationship ni,Neutral
1084,saya rasa sangat disayangi oleh dia,Positive
1085,aku rasa sangat penat dengan relationship ni,Negative
1086,tak ada masalah besar antara kami,Neutral
1087,aku sangat selesa dengan dia,Positive
1088,dia selalu marah tanpa sebab,Negative
1089,neutral je sekarang,Neutral
1090,he always makes me smile,Positive
1091,kami tak serasi langsung,Negative
1092,neutral je sekarang,Neutral
1093,saya rasa sangat disayangi oleh dia,Positive
1094,partner aku selalu ignore aku,Negative
1095,kami just go with the flow,Neutral
1096,relationship kami sangat sihat dan bahagia,Positive
1097,kami tak serasi langsung,Negative
1098,relationship ni stabil je,Neutral
1099,bf aku sangat caring dan selalu support aku,Positive
1100,kami tak serasi langsung,Negative
1101,relationship ni stabil je,Neutral
1102,kami selalu communicate dengan baik,Positive
1103,aku rasa sangat penat dengan relationship ni,Negative
1104,tak ada masalah besar antara kami,Neutral
1105,partner aku baik sangat dan penyayang,Positive
1106,aku rasa lonely walaupun ada partner,Negative
1107,neutral je sekarang,Neutral
1108,relationship kami sangat sihat dan bahagia,Positive
1109,dia selalu marah tanpa sebab,Negative
1110,relationship ni stabil je,Neutral
1111,partner aku baik sangat dan penyayang,Positive
1112,relationship ni toxic sangat,Negative
1113,kami biasa biasa sahaja,Neutral
1114,aku rasa dihargai dalam relationship ni,Positive
1115,kami tak serasi langsung,Negative
1116,tak ada masalah besar antara kami,Neutral
1117,he always makes me smile,Positive
1118,dia selalu marah tanpa sebab,Negative
1119,neutral je sekarang,Neutral
1120,dia sangat understanding dengan aku,Positive
1121,dia pentingkan diri sendiri,Negative
1122,relationship ni stabil je,Neutral
1123,relationship kami sangat sihat dan bahagia,Positive
1124,kami selalu bergaduh tiap hari,Negative
1125,tak terlalu rapat tapi okay,Neutral
1126,relationship kami sangat sihat dan bahagia,Positive
1127,kami selalu bergaduh tiap hari,Negative
1128,neutral je sekarang,Neutral
1129,bf aku sangat caring dan selalu support aku,Positive
1130,dia pentingkan diri sendiri,Negative
1131,kami just go with the flow,Neutral
1132,relationship kami sangat sihat dan bahagia,Positive
1133,partner aku selalu ignore aku,Negative
1134,neutral je sekarang,Neutral
1135,dia sangat understanding dengan aku,Positive
1136,partner aku selalu ignore aku,Negative
1137,kami biasa biasa sahaja,Neutral
1138,aku sangat selesa dengan dia,Positive
1139,relationship ni toxic sangat,Negative
1140,aku tak pasti status relationship ni,Neutral
1141,partner aku selalu buat aku happy,Positive
1142,kami selalu bergaduh tiap hari,Negative
1143,relationship ni stabil je,Neutral
1144,partner aku baik sangat dan penyayang,Positive
1145,kami selalu bergaduh tiap hari,Negative
1146,neutral je sekarang,Neutral
1147,dia sangat understanding dengan aku,Positive
1148,aku rasa sangat penat dengan relationship ni,Negative
1149,tak ada masalah besar antara kami,Neutral
1150,relationship kami sangat sihat dan bahagia,Positive
1151,aku rasa lonely walaupun ada partner,Negative
1152,tak terlalu rapat tapi okay,Neutral
1153,saya rasa sangat disayangi oleh dia,Positive
1154,partner aku selalu ignore aku,Negative
1155,aku tak pasti status relationship ni,Neutral
1156,kami selalu communicate dengan baik,Positive
1157,aku rasa lonely walaupun ada partner,Negative
1158,tak ada isu besar setakat ni,Neutral
1159,kami selalu communicate dengan baik,Positive
1160,relationship ni toxic sangat,Negative
1161,aku tak pasti status relationship ni,Neutral
1162,relationship kami sangat sihat dan bahagia,Positive
1163,kami tak serasi langsung,Negative
1164,relationship ni stabil je,Neutral
1165,dia sangat understanding dengan aku,Positive
1166,dia langsung tak peduli perasaan aku,Negative
1167,kami just go with the flow,Neutral
1168,partner aku selalu buat aku happy,Positive
1169,aku rasa sangat penat dengan relationship ni,Negative
1170,kami biasa biasa sahaja,Neutral
1171,aku rasa dihargai dalam relationship ni,Positive
1172,aku rasa stressed dalam relationship ni,Negative
1173,aku masih cuba faham dia,Neutral
1174,partner aku selalu buat aku happy,Positive
1175,dia selalu marah tanpa sebab,Negative
1176,relationship kami okay je,Neutral
1177,relationship kami sangat sihat dan bahagia,Positive
1178,aku rasa stressed dalam relationship ni,Negative
1179,tak ada masalah besar antara kami,Neutral
1180,partner aku baik sangat dan penyayang,Positive
1181,aku rasa lonely walaupun ada partner,Negative
1182,relationship ni stabil je,Neutral
1183,aku sangat selesa dengan dia,Positive
1184,dia selalu marah tanpa sebab,Negative
1185,aku masih cuba faham dia,Neutral
1186,partner aku selalu buat aku happy,Positive
1187,partner aku selalu ignore aku,Negative
1188,kami just go with the flow,Neutral
1189,bf aku sangat caring dan selalu support aku,Positive
1190,dia pentingkan diri sendiri,Negative
1191,tak ada isu besar setakat ni,Neutral
1192,dia sangat understanding dengan aku,Positive
1193,dia pentingkan diri sendiri,Negative
1194,kami biasa biasa sahaja,Neutral
1195,partner aku selalu buat aku happy,Positive
1196,kami tak serasi langsung,Negative
1197,relationship ni stabil je,Neutral
1198,aku rasa dihargai dalam relationship ni,Positive
1199,dia langsung tak peduli perasaan aku,Negative
1200,aku tak pasti status relationship ni,Neutral
